#parameter
noise_strength=0.61
delayTime=1

time	Order	Order2	Order4
1 0.11675 0.0136305 0.000185789
2 0.118111 0.0139501 0.000194606
3 0.114075 0.0130132 0.000169344
4 0.11914 0.0141944 0.00020148
5 0.114212 0.0130444 0.000170156
6 0.117453 0.0137952 0.000190308
7 0.116386 0.0135456 0.000183483
8 0.116443 0.0135589 0.000183845
9 0.114994 0.0132236 0.000174863
10 0.116858 0.0136559 0.000186484
11 0.114245 0.013052 0.000170355
12 0.118724 0.0140953 0.000198679
13 0.115511 0.0133427 0.000178028
14 0.119131 0.0141921 0.000201416
15 0.11474 0.0131654 0.000173327
16 0.120959 0.014631 0.000214066
17 0.112372 0.0126274 0.000159452
18 0.118147 0.0139588 0.000194848
19 0.112887 0.0127434 0.000162394
20 0.120004 0.014401 0.000207388
21 0.113369 0.0128525 0.000165187
22 0.120794 0.0145912 0.000212904
23 0.117311 0.013762 0.000189392
24 0.117143 0.0137224 0.000188304
25 0.118668 0.014082 0.000198303
26 0.117941 0.0139102 0.000193493
27 0.115809 0.0134118 0.000179876
28 0.116773 0.0136359 0.000185937
29 0.116708 0.0136207 0.000185523
30 0.116446 0.0135597 0.000183866
31 0.114599 0.013133 0.000172476
32 0.115579 0.0133586 0.000178452
33 0.117452 0.0137949 0.000190299
34 0.115686 0.0133832 0.000179111
35 0.117572 0.0138231 0.000191078
36 0.115691 0.0133845 0.000179144
37 0.118558 0.0140559 0.000197568
38 0.117699 0.013853 0.000191905
39 0.118757 0.0141032 0.0001989
40 0.113194 0.0128129 0.000164171
41 0.117497 0.0138055 0.000190592
42 0.111263 0.0123794 0.000153249
43 0.116546 0.0135831 0.000184499
44 0.115047 0.0132358 0.000175186
45 0.118067 0.0139397 0.000194316
46 0.116008 0.013458 0.000181117
47 0.116517 0.0135761 0.000184311
48 0.116124 0.0134848 0.000181841
49 0.114478 0.0131052 0.000171746
50 0.117568 0.0138221 0.000191051
51 0.116754 0.0136315 0.000185817
52 0.117885 0.013897 0.000193126
53 0.113703 0.0129283 0.000167142
54 0.115796 0.0134087 0.000179793
55 0.115104 0.0132488 0.000175532
56 0.11543 0.013324 0.000177529
57 0.112818 0.012728 0.000162002
58 0.117298 0.0137588 0.000189305
59 0.113983 0.0129922 0.000168797
60 0.116706 0.0136203 0.000185513
61 0.116946 0.0136764 0.000187044
62 0.117448 0.013794 0.000190273
63 0.118248 0.0139826 0.000195512
64 0.120648 0.0145559 0.000211873
65 0.119809 0.0143543 0.000206045
66 0.117458 0.0137964 0.00019034
67 0.116186 0.0134991 0.000182225
68 0.115895 0.0134316 0.000180407
69 0.116061 0.0134701 0.000181444
70 0.115131 0.0132553 0.000175702
71 0.117089 0.0137099 0.00018796
72 0.115028 0.0132315 0.000175073
73 0.113783 0.0129466 0.000167615
74 0.113213 0.0128173 0.000164282
75 0.109286 0.0119435 0.000142647
76 0.114609 0.0131352 0.000172535
77 0.108185 0.011704 0.000136983
78 0.113067 0.0127841 0.000163433
79 0.111223 0.0123705 0.000153029
80 0.114322 0.0130694 0.00017081
81 0.113371 0.012853 0.000165199
82 0.114723 0.0131613 0.000173221
83 0.109899 0.0120779 0.000145876
84 0.116003 0.0134568 0.000181085
85 0.110455 0.0122004 0.000148849
86 0.116663 0.0136102 0.000185237
87 0.112776 0.0127184 0.000161757
88 0.114158 0.0130321 0.000169837
89 0.113477 0.0128771 0.000165821
90 0.114616 0.0131369 0.000172578
91 0.113733 0.0129352 0.000167319
92 0.115772 0.0134032 0.000179646
93 0.11659 0.0135932 0.000184775
94 0.117674 0.0138472 0.000191746
95 0.120468 0.0145125 0.000210614
96 0.11855 0.0140541 0.000197517
97 0.120792 0.0145907 0.000212889
98 0.11806 0.0139381 0.00019427
99 0.119561 0.0142947 0.00020434
100 0.113462 0.0128737 0.000165732
